454700,3040,0.2,1701375962
1359828,3336,0.2,1701376021
907264,3504,0.2,1701376082
454700,2740,0.3,1701376141
454700,2800,0.2,1701376202
1359828,3764,0.3,1701376261
907264,3532,0.3,1701376322
454700,3032,0.2,1701376381
454700,2740,0.3,1701376441
454700,2732,0.2,1701376502
454700,2800,0.3,1701376561
454700,2800,0.5,1701376622
1359828,3184,0.5,1701376682
2264956,3520,0.3,1701376741
1812392,3288,0.3,1701376802
1359828,3228,0.3,1701376861
907264,3224,0.3,1701376922
454700,2740,0.2,1701376981
454700,2760,0.2,1701377042
454700,3040,0.2,1701377101
454700,3040,0.2,1701377162
1359828,3084,0.2,1701377221
907264,3172,0.3,1701377282
1812392,4156,0.2,1701377341
2717520,4440,0.2,1701377402
3622648,4864,0.2,1701377461
4527776,4408,0.3,1701377521
5432904,4912,0.2,1701377582
4980340,5020,0.3,1701377641
5885468,4864,0.3,1701377702
5432904,5212,0.3,1701377761
4980340,4580,0.3,1701377822
4527776,4628,0.3,1701377881
5432904,4712,0.3,1701377941
6338032,5896,0.3,1701378002
5432904,5012,0.3,1701378061
6338032,5716,0.3,1701378122
5885468,5784,0.3,1701378181
6790596,5880,0.3,1701378242
7695724,5556,0.3,1701378301
8148288,6208,0.3,1701378362
7695724,5748,0.3,1701378421
7243160,6612,0.3,1701378482
6790596,6448,0.3,1701378541
6338032,5016,0.3,1701378601
7243160,5420,0.3,1701378662
8148288,6904,0.3,1701378721
9053416,6528,0.2,1701378782
8600852,6316,0.3,1701378841
8148288,5964,0.3,1701378902
9053416,6160,0.3,1701378961
8600852,6556,0.3,1701379022
9505980,6340,0.3,1701379081
9053416,6988,0.3,1701379142
9958544,7232,0.3,1701379201
9505980,6360,0.3,1701379262
10411108,6624,0.3,1701379321
9958544,7332,0.3,1701379382
9505980,6320,0.3,1701379441
9053416,6128,0.3,1701379502
9958544,6804,0.3,1701379561
9505980,6380,0.3,1701379622
9053416,6868,0.3,1701379681
8600852,6976,0.3,1701379742
8148288,6376,0.3,1701379801
7695724,5504,0.3,1701379862
7243160,5360,0.3,1701379921
6790596,5248,0.3,1701379982
6338032,5296,0.3,1701380041
7243160,6552,0.3,1701380102
6790596,5260,0.3,1701380161
7695724,6396,0.3,1701380221
7243160,6844,0.3,1701380282
6790596,5660,0.3,1701380341
6338032,5828,0.3,1701380402
5885468,5636,0.3,1701380461
5432904,5752,0.3,1701380522
6338032,5028,0.3,1701380581
7243160,6944,0.3,1701380642
6790596,5660,0.3,1701380701
6338032,5668,0.2,1701380762
5885468,5596,0.3,1701380821
5432904,4824,0.3,1701380882
4980340,4712,0.3,1701380941
4527776,4280,0.3,1701381002
4075212,5388,0.2,1701381061
3622648,3936,0.2,1701381121
4527776,5560,0.3,1701381182
4075212,5368,0.3,1701381241
4980340,5292,0.3,1701381302
4527776,4280,0.2,1701381361
4075212,4988,0.2,1701381422
3622648,4128,0.3,1701381481
4527776,4352,0.2,1701381541
3622648,4056,0.2,1701381602
4527776,4580,0.3,1701381661
4075212,4148,0.2,1701381722
4980340,4664,0.2,1701381781
4527776,5632,0.2,1701381842
4075212,4208,0.2,1701381901
3622648,4336,0.3,1701381961
3170084,4124,0.2,1701382022
4075212,4268,0.2,1701382081
3622648,5096,0.3,1701382142
4527776,4340,0.2,1701382201
5432904,5984,0.2,1701382262
4980340,5292,0.3,1701382321
4527776,4560,0.3,1701382382
5432904,5996,0.3,1701382441
6338032,6032,0.2,1701382501
7243160,6436,0.3,1701382562
8148288,5760,0.3,1701382621
9053416,6244,0.3,1701382682
9958544,7608,0.3,1701382741
9505980,7576,0.3,1701382802
9053416,7324,0.3,1701382861
8600852,6140,0.3,1701382922
8148288,5796,0.3,1701382981
9053416,7172,0.3,1701383042
8600852,6148,0.3,1701383101
9505980,7452,0.3,1701383161
9053416,6340,0.3,1701383222
9958544,7204,0.3,1701383281
9505980,6252,0.3,1701383342
8600852,6308,0.3,1701383401
8148288,6056,0.3,1701383462
7695724,5656,0.3,1701383521
8600852,6880,0.3,1701383582
8148288,5968,0.3,1701383641
7695724,5756,0.3,1701383702
7243160,6104,0.2,1701383761
6790596,5232,0.3,1701383822
5885468,5648,0.3,1701383881
6790596,5392,0.3,1701383942
5885468,5448,0.3,1701384001
5432904,4816,0.2,1701384061
6338032,5360,0.3,1701384122
7243160,6716,0.3,1701384181
6790596,5452,0.3,1701384242
6338032,5680,0.2,1701384301
5885468,5028,0.3,1701384362
6790596,5652,0.3,1701384421
6338032,5600,0.3,1701384482
5885468,5048,0.3,1701384541
